subject,predicate,object,doc_id,sentence
electric vehicle market in the United States,GROWN,"more than 315,000 vehicles sold annually from 2018 to 2020",doc_1,"The electric vehicle market in the United States has grown from a few thousand vehicles in 2010 to more than 315,000 vehicles sold annually from 2018 to 2020."
electric share of new vehicle sales in 2020,WAS,approximately 2.4%,doc_1,"In 2020, the electric share of new vehicle sales was approximately 2.4%, an increase from about 2% in 2019."
States with zero-emission vehicle (ZEV) regulations,HAD,a combined new electric vehicle share of 5%,doc_1,"States with zero-emission vehicle (ZEV) regulations had a combined new electric vehicle share of 5% and typically at least 13 more electric models available than states without such regulations, which had a 1.3% average electric vehicle share."
States with ZEV regulations,WERE RESPONSIBLE FOR,about two-thirds of 2020 U.S. electric vehicle sales,doc_1,States with ZEV regulations were responsible for about two-thirds of 2020 U.S. electric vehicle sales and less than one-third of overall light-duty vehicle sales.
top 11 metropolitan areas with the highest uptake,HAD,"substantial consumer incentives ranging from $1,500 to more than $5,500",doc_1,"The top 11 metropolitan areas with the highest uptake had substantial consumer incentives ranging from $1,500 to more than $5,500."
ten with the highest uptake,AVERAGED,935 public chargers per million population,doc_1,"Of the 200 most populous metropolitan areas, the ten with the highest uptake averaged a 10% electric share and 935 public chargers per million population."
U.S. population,LIVES IN,an area with just 20% of the public charging availability in those top-ten markets,doc_1,population lives in an area with just 20% of the public charging availability in those top-ten markets.
Americans,BOUGHT,"268,909 new electric vehicles",doc_2,"In the first quarter of 2024, Americans bought 268,909 new electric vehicles, according to Kelley Blue Book counts."
EV share of total new-vehicle sales in Q1,WAS,7.3%,doc_2,"EV share of total new-vehicle sales in Q1 was 7.3%, a decrease from Q4 2023."
Tesla’s share of the electric vehicle market in Q1 2024,WAS,51.3%,doc_2,"Tesla’s share of the electric vehicle market in Q1 2024 was 51.3%, down from 61.7% one year earlier."
Cadillac,ACHIEVED,499.2% year-over-year increase in electric vehicle sales,doc_2,Cadillac achieved a 499.2% year-over-year increase in electric vehicle sales due to robust sales of its Lyriq model.
Mercedes,WAS UP,66.9%,doc_2,"At Mercedes, EV sales were up 66.9%."
BMW,POSTED,62.6% increase in EV sales,doc_2,BMW posted a 62.6% increase in EV sales compared to Q1 2023.
Ford,ACHIEVED,86.1% year-over-year increase in Q1 EV sales,doc_2,"On the non-luxury side, Ford achieved an 86.1% year-over-year increase in Q1 EV sales with the second-highest EV sales volume behind Tesla."
Average transaction price for a new EV in Q1,WAS,"$55,167",doc_2,"The average transaction price for a new EV in Q1 was $55,167, a 9.0% decrease compared to Q1 2023 and down 3.8% quarter over quarter."
electric vehicles,HELP_IMPROVE,fuel economy,doc_3,"All forms of electric vehicles (EVs) can help improve fuel economy, lower fuel costs, and reduce emissions."
